analysis_pair,pair_label,model_name,org,source_benchmark,transfer_benchmark,source_score,transfer_score,transfer_gap_source_minus_transfer,predicted_transfer_score,residual_transfer_minus_predicted,abs_residual,is_estimated,score_provenance
knowledge,MMLU -> GPQA Diamond,Claude 3.5 Sonnet,Anthropic,MMLU,GPQA Diamond,88.3,59.4,28.9,64.55641271617776,-5.156412716177762,5.156412716177762,False,Amazon / Codesota
math_math500,GSM8K -> MATH-500,Kimi K2-Instruct,Moonshot AI,GSM8K,MATH-500,97.3,97.4,-0.10000000000000853,92.29936967000371,5.100630329996292,5.100630329996292,False,LLM-Stats
vision_objectnet,ImageNet -> ObjectNet,VGG-16,Various,ImageNet,ObjectNet,63.7,26.9,36.800000000000004,31.999037955789355,-5.099037955789356,5.099037955789356,False,NeurIPS 2023
code,HumanEval -> LiveCodeBench,o4-mini (High),OpenAI,HumanEval,LiveCodeBench,96.0,80.2,15.799999999999997,75.38528631793673,4.814713682063271,4.814713682063271,True,LiveCodeBench
math_math500,GSM8K -> MATH-500,o3,OpenAI,GSM8K,MATH-500,99.0,99.2,-0.20000000000000284,94.42279384501303,4.77720615498697,4.77720615498697,True,Artificial Analysis
vision_imagenetv2,ImageNet -> ImageNet-V2,Swin-v2-large,Microsoft,ImageNet,ImageNetV2,85.0,84.0,1.0,79.2659295875993,4.734070412400698,4.734070412400698,True,Codesota
math_math500,GSM8K -> MATH-500,GPT-5,OpenAI,GSM8K,MATH-500,99.4,99.4,0.0,94.92242306266229,4.477576937337716,4.477576937337716,False,Artificial Analysis / PricePerToken
code,HumanEval -> LiveCodeBench,Gemini 2.5 Pro 06-05,Google,HumanEval,LiveCodeBench,95.0,73.6,21.400000000000006,77.99799213172079,-4.397992131720798,4.397992131720798,True,LiveCodeBench
vision_objectnet,ImageNet -> ObjectNet,ViT-B/32,Google,ImageNet,ObjectNet,67.4,39.7,27.700000000000003,35.76942710924731,3.9305728907526927,3.9305728907526927,False,NeurIPS 2023
vision_imagenetv2,ImageNet -> ImageNet-V2,ConvNeXt-v2-huge,Meta,ImageNet,ImageNetV2,83.0,80.5,2.5,76.77310570249459,3.7268942975054102,3.7268942975054102,True,Codesota
knowledge,MMLU -> GPQA Diamond,GPT-5.4,OpenAI,MMLU,GPQA Diamond,92.0,92.0,0.0,88.6806552615451,3.3193447384549017,3.3193447384549017,True,Artificial Analysis / Iternal
code,HumanEval -> LiveCodeBench,Claude Opus 4.6,Anthropic,HumanEval,LiveCodeBench,97.0,76.0,21.0,72.77258050415264,3.227419495847357,3.227419495847357,False,LayerLens / BenchLM
vision_imagenetv2,ImageNet -> ImageNet-V2,ResNet-50,Various,ImageNet,ImageNetV2,76.8,66.0,10.799999999999997,69.04535165866994,-3.0453516586699436,3.0453516586699436,True,ICCV 2023
knowledge,MMLU -> GPQA Diamond,Claude Sonnet 4.6,Anthropic,MMLU,GPQA Diamond,89.3,74.1,15.200000000000003,71.07647826897971,3.0235217310202813,3.0235217310202813,False,Iternal
math_aime2024,GSM8K -> AIME 2024,Claude Opus 4,Anthropic,GSM8K,AIME2024,96.2,90.0,6.200000000000003,92.57673130193899,-2.5767313019389917,2.5767313019389917,True,LayerLens / PricePerToken
vision_imagenetv2,ImageNet -> ImageNet-V2,VGG-16,Various,ImageNet,ImageNetV2,63.7,55.0,8.700000000000003,52.71735521123402,2.282644788765978,2.282644788765978,True,NeurIPS 2023
code,HumanEval -> LiveCodeBench,o3 (High),OpenAI,HumanEval,LiveCodeBench,95.0,75.8,19.200000000000003,77.99799213172079,-2.1979921317207953,2.1979921317207953,True,LiveCodeBench
vision_objectnet,ImageNet -> ObjectNet,ResNet-18,Various,ImageNet,ObjectNet,59.7,25.8,33.900000000000006,27.922941573672638,-2.1229415736726374,2.1229415736726374,False,NeurIPS 2023
code,HumanEval -> LiveCodeBench,GPT-5.3 Codex,OpenAI,HumanEval,LiveCodeBench,93.0,85.0,8.0,83.22340375928891,1.7765962407110862,1.7765962407110862,False,LXT / BenchLM
code,HumanEval -> LiveCodeBench,Gemini 3.1 Pro,Google,HumanEval,LiveCodeBench,97.0,71.0,26.0,72.77258050415264,-1.7725805041526428,1.7725805041526428,False,LayerLens / BenchLM
math_aime2024,GSM8K -> AIME 2024,Qwen3 235B A22B,Alibaba,GSM8K,AIME2024,96.0,94.0,2.0,92.26038781163427,1.7396121883657258,1.7396121883657258,True,PricePerToken
knowledge,MMLU -> GPQA Diamond,Gemini 3.1 Pro,Google,MMLU,GPQA Diamond,92.6,94.3,-1.7000000000000028,92.59269459322627,1.7073054067737274,1.7073054067737274,False,Artificial Analysis / Iternal
code,HumanEval -> LiveCodeBench,GLM-4.7,Zhipu AI,HumanEval,LiveCodeBench,93.0,84.9,8.099999999999994,83.22340375928891,1.676596240711092,1.676596240711092,True,BenchLM
code,HumanEval -> LiveCodeBench,GPT-5.2,OpenAI,HumanEval,LiveCodeBench,94.0,79.0,15.0,80.61069794550485,-1.6106979455048531,1.6106979455048531,True,BenchLM
knowledge,MMLU -> GPQA Diamond,GPT-5.5,OpenAI,MMLU,GPQA Diamond,93.0,93.6,-0.5999999999999943,95.20072081434705,-1.6007208143470564,1.6007208143470564,True,Vellum
code,HumanEval -> LiveCodeBench,DeepSeek-R1-0528,DeepSeek,HumanEval,LiveCodeBench,97.4,73.1,24.30000000000001,71.72749817863902,1.37250182136097,1.37250182136097,False,LayerLens / LCB
vision_imagenetv2,ImageNet -> ImageNet-V2,CLIP-ViT-L/14,OpenAI,ImageNet,ImageNetV2,74.4,64.8,9.600000000000009,66.05396299654429,-1.2539629965442884,1.2539629965442884,True,NeurIPS 2023
vision_imagenetv2,ImageNet -> ImageNet-V2,ViT-B/32,Google,ImageNet,ImageNetV2,67.4,58.0,9.400000000000006,57.32907939867775,0.6709206013222513,0.6709206013222513,True,NeurIPS 2023
vision_imagenetv2,ImageNet -> ImageNet-V2,MobileNetV3-Large,Various,ImageNet,ImageNetV2,71.5,62.9,8.600000000000001,62.439368363142435,0.46063163685756336,0.46063163685756336,False,ICCV 2023
math_aime2024,GSM8K -> AIME 2024,Grok-3 Mini,xAI,GSM8K,AIME2024,98.0,95.8,2.200000000000003,95.42382271468128,0.3761772853187182,0.3761772853187182,True,LLM-Stats
math_aime2024,GSM8K -> AIME 2024,DeepSeek-R1-0528,DeepSeek,GSM8K,AIME2024,95.3,91.4,3.8999999999999915,91.15318559556783,0.24681440443217184,0.24681440443217184,False,LLM-Stats
math_aime2024,GSM8K -> AIME 2024,Gemini 2.5 Pro,Google,GSM8K,AIME2024,95.7,92.0,3.700000000000003,91.78587257617724,0.2141274238227595,0.2141274238227595,False,LLM-Stats
code,HumanEval -> LiveCodeBench,Claude Sonnet 4.5,Anthropic,HumanEval,LiveCodeBench,97.6,71.4,26.19999999999999,71.20495701588223,0.19504298411777654,0.19504298411777654,False,LayerLens / LCB
